WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,Van Pelt Road,,44.575105,-85.566719,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.575105,-85.566719","https://www.google.com/maps?q&layer=c&cbll=44.575105,-85.566719",https://www.bing.com/maps?cp=44.575105~-85.566719&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.566719%2C44.575105&marker=-85.566719,44.575105,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.575105&longitude=-85.566719,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.566719,44.575105&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Lackey Road,,44.754752,-85.339715,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.754752,-85.339715","https://www.google.com/maps?q&layer=c&cbll=44.754752,-85.339715",https://www.bing.com/maps?cp=44.754752~-85.339715&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.339715%2C44.754752&marker=-85.339715,44.754752,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.754752&longitude=-85.339715,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.339715,44.754752&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,S Hobbs Highway,,44.657443,-85.497099,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.657443,-85.497099","https://www.google.com/maps?q&layer=c&cbll=44.657443,-85.497099",https://www.bing.com/maps?cp=44.657443~-85.497099&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.497099%2C44.657443&marker=-85.497099,44.657443,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.657443&longitude=-85.497099,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.497099,44.657443&level=16",Minor Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Collector,,,
,,,Hager Road,,44.605395,-85.363368,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.605395,-85.363368","https://www.google.com/maps?q&layer=c&cbll=44.605395,-85.363368",https://www.bing.com/maps?cp=44.605395~-85.363368&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.363368%2C44.605395&marker=-85.363368,44.605395,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.605395&longitude=-85.363368,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.363368,44.605395&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Scout Camp Road,,44.670933,-85.475764,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.670933,-85.475764","https://www.google.com/maps?q&layer=c&cbll=44.670933,-85.475764",https://www.bing.com/maps?cp=44.670933~-85.475764&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.475764%2C44.670933&marker=-85.475764,44.670933,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.670933&longitude=-85.475764,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.475764,44.670933&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,E Arbutus Lake Road,,44.670729,-85.508038,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.670729,-85.508038","https://www.google.com/maps?q&layer=c&cbll=44.670729,-85.508038",https://www.bing.com/maps?cp=44.670729~-85.508038&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508038%2C44.670729&marker=-85.508038,44.670729,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.670729&longitude=-85.508038,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508038,44.670729&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Hannah Road,,44.530315,-85.645841,C,"$2,000.00 - Debris - Work Incomplete",,"https://www.google.com/maps?q=44.530315,-85.645841","https://www.google.com/maps?q&layer=c&cbll=44.530315,-85.645841",https://www.bing.com/maps?cp=44.530315~-85.645841&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.645841%2C44.530315&marker=-85.645841,44.530315,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.530315&longitude=-85.645841,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.645841,44.530315&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Whitney Road,,44.765111,-85.392407,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.765111,-85.392407","https://www.google.com/maps?q&layer=c&cbll=44.765111,-85.392407",https://www.bing.com/maps?cp=44.765111~-85.392407&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.392407%2C44.765111&marker=-85.392407,44.765111,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.765111&longitude=-85.392407,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.392407,44.765111&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Peninsula Drive,,44.893385,-85.526266,C,"$2,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.893385,-85.526266","https://www.google.com/maps?q&layer=c&cbll=44.893385,-85.526266",https://www.bing.com/maps?cp=44.893385~-85.526266&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.526266%2C44.893385&marker=-85.526266,44.893385,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.893385&longitude=-85.526266,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.526266,44.893385&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hawley Road,,44.787316,-85.430596,C,"$15,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.787316,-85.430596","https://www.google.com/maps?q&layer=c&cbll=44.787316,-85.430596",https://www.bing.com/maps?cp=44.787316~-85.430596&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.430596%2C44.787316&marker=-85.430596,44.787316,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.787316&longitude=-85.430596,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.430596,44.787316&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
